CountryA,CountryB,meanScoreA,meanScoreB
Egypt,Morocco,0.27,0.64
Egypt,Nigeria,1.25,1.0
Egypt,Senegal,1.1,0.7
Egypt,Tunisia,0.75,1.06
Egypt,Australia,2.0,2.0
Egypt,Iran,3.0,2.0
Egypt,Japan,2.0,2.0
Egypt,Korea Republic,0.62,1.0
Egypt,Saudi Arabia,1.0,2.5
Egypt,Belgium,2.5,0.0
Egypt,Croatia,1.0,2.0
Egypt,Denmark,1.0,2.0
Egypt,England,1.0,2.0
Egypt,France,1.0,2.0
Egypt,Germany,1.0,2.0
Egypt,Iceland,3.0,2.0
Egypt,Poland,1.0,2.0
Egypt,Portugal,1.0,2.0
Egypt,Russia,2.0,2.0
Egypt,Serbia,2.0,2.0
Egypt,Spain,1.0,2.0
Egypt,Sweden,2.0,2.0
Egypt,Switzerland,1.0,2.0
Egypt,Costa Rica,3.0,2.0
Egypt,Mexico,0.67,2.33
Egypt,Panama,3.0,2.0
Egypt,Argentina,1.0,2.0
Egypt,Brazil,1.0,2.0
Egypt,Colombia,2.0,2.0
Egypt,Peru,3.0,2.0
Egypt,Uruguay,1.0,2.0
Morocco,Egypt,0.64,0.27
Morocco,Nigeria,1.5,1.5
Morocco,Senegal,1.42,0.25
Morocco,Tunisia,1.06,0.76
Morocco,Australia,2.0,2.0
Morocco,Iran,3.0,2.0
Morocco,Japan,2.0,2.0
Morocco,Korea Republic,2.0,1.33
Morocco,Saudi Arabia,2.0,2.0
Morocco,Belgium,1.0,2.0
Morocco,Croatia,1.0,2.0
Morocco,Denmark,1.0,2.0
Morocco,England,1.0,2.0
Morocco,France,1.25,2.5
Morocco,Germany,1.0,2.0
Morocco,Iceland,3.0,2.0
Morocco,Poland,1.0,2.0
Morocco,Portugal,1.0,2.0
Morocco,Russia,2.0,2.0
Morocco,Serbia,2.0,2.0
Morocco,Spain,1.0,2.0
Morocco,Sweden,2.0,2.0
Morocco,Switzerland,1.0,2.0
Morocco,Costa Rica,3.0,2.0
Morocco,Mexico,2.0,2.0
Morocco,Panama,3.0,2.0
Morocco,Argentina,0.5,2.0
Morocco,Brazil,1.0,2.0
Morocco,Colombia,2.0,2.0
Morocco,Peru,3.0,2.0
Morocco,Uruguay,1.0,2.0
Nigeria,Egypt,1.0,1.25
Nigeria,Morocco,1.5,1.5
Nigeria,Senegal,1.44,1.11
Nigeria,Tunisia,1.25,1.25
Nigeria,Australia,2.0,2.0
Nigeria,Iran,3.0,2.0
Nigeria,Japan,2.0,2.0
Nigeria,Korea Republic,1.5,2.0
Nigeria,Saudi Arabia,2.0,2.0
Nigeria,Belgium,1.0,2.0
Nigeria,Croatia,1.0,2.0
Nigeria,Denmark,1.0,2.0
Nigeria,England,0.0,0.5
Nigeria,France,1.0,2.0
Nigeria,Germany,1.0,2.0
Nigeria,Iceland,3.0,2.0
Nigeria,Poland,1.0,2.0
Nigeria,Portugal,1.0,2.0
Nigeria,Russia,2.0,2.0
Nigeria,Serbia,2.0,2.0
Nigeria,Spain,1.5,2.5
Nigeria,Sweden,2.0,2.0
Nigeria,Switzerland,1.0,2.0
Nigeria,Costa Rica,3.0,2.0
Nigeria,Mexico,2.0,2.0
Nigeria,Panama,3.0,2.0
Nigeria,Argentina,1.5,1.62
Nigeria,Brazil,1.0,2.0
Nigeria,Colombia,0.25,1.0
Nigeria,Peru,3.0,2.0
Nigeria,Uruguay,1.0,2.0
Senegal,Egypt,0.7,1.1
Senegal,Morocco,0.25,1.42
Senegal,Nigeria,1.11,1.44
Senegal,Tunisia,0.45,1.36
